Customer_ID,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Latitude,Longitude,Population,Quarter,Referred_a_friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Satisfaction_Score,Customer_Status,Churn_Label,Churn_Score,CLTV,Churn_Category,Churn_Reason
0002-ORFBO,Female,37,No,No,Yes,No,0,United States,California,Frazier Park,93225,34.82766342,-118.9990692,4498,3,Yes,2,9,None,Yes,42.38999939,No,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.59999847,593.2999878,0,0,381.5100098,974.8099976,3,Stayed,No,65,2205,Others,Others
0003-MKNFE,Male,46,No,No,No,No,0,United States,California,Glendale,91206,34.16251373,-118.2038727,31297,3,No,0,9,None,Yes,10.68999958,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,59.90000153,542.4000244,38.33000183,10,96.20999908,610.2800293,5,Stayed,No,66,5414,Others,Others
0004-TLHLJ,Male,50,No,No,No,No,0,United States,California,Costa Mesa,92627,33.64567184,-117.9226151,62069,3,No,0,4,Offer E,Yes,33.65000153,No,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.90000153,280.8500061,0,0,134.6000061,415.4500122,1,Churned,Yes,71,4479,Competitor,Competitor had better devices
0011-IGKFF,Male,78,No,Yes,Yes,No,0,United States,California,Martinez,94553,38.0144577,-122.1154327,46677,3,Yes,1,13,Offer D,Yes,27.81999969,No,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1237.849976,0,0,361.6600037,1599.51001,1,Churned,Yes,91,3714,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,No,Yes,Yes,No,0,United States,California,Camarillo,93010,34.22784424,-119.0799026,42853,3,Yes,3,3,None,Yes,7.380000114,No,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.90000153,267.3999939,0,0,22.13999939,289.5400085,1,Churned,Yes,68,3464,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,Yes,No,No,Yes,3,United States,California,Midpines,95345,37.58149719,-119.9727631,433,3,No,0,9,Offer E,Yes,16.77000046,No,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.40000153,571.4500122,0,0,150.9299927,722.3800049,3,Stayed,No,55,5108,Others,Others
0013-SMEOE,Female,67,No,Yes,Yes,No,0,United States,California,Lompoc,93437,34.75747681,-120.5505066,6165,3,Yes,1,71,Offer A,Yes,9.960000038,No,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.6999969,7904.25,0,0,707.1599731,8611.410156,3,Stayed,No,26,5011,Others,Others
0014-BMAQU,Male,52,No,No,Yes,No,0,United States,California,Napa,94558,38.48978806,-122.2701111,63947,3,Yes,8,63,Offer B,Yes,12.96000004,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65000153,5377.799805,0,20,816.4799805,6214.279785,4,Stayed,No,49,4604,Others,Others
0015-UOCOJ,Female,68,No,Yes,No,No,0,United States,California,Simi Valley,93063,34.29681396,-118.6856995,49027,3,No,0,7,Offer E,Yes,10.52999973,No,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.20000076,340.3500061,0,0,73.70999908,414.0599976,3,Stayed,No,34,5525,Others,Others
0016-QLJIS,Female,43,No,No,Yes,Yes,1,United States,California,Sheridan,95681,38.98475647,-121.3450775,1219,3,Yes,3,65,None,Yes,28.45999908,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.44999695,5957.899902,0,0,1849.900024,7807.799805,3,Stayed,No,25,5509,Others,Others
